Domain Code;Domain;Area Code (M49);Area;Element Code;item;Item Code;P ;Year Code;Year;Unit;Value;Flag;Flag Description;Note
OA;Annual population;24;Angola;511;(Angola)População Total - Ambos os sexos;3010;Population - Est. & Proj.;2022;2022;1000 No;35.635.029;X;Figure from international organizations;
OA;Annual population;24;Angola;511;(Angola)População Total - Ambos os sexos;3010;Population - Est. & Proj.;2023;2023;1000 No;36.749.906;X;Figure from international organizations;
OA;Annual population;76;Brazil;511;População Total - Ambos os sexos(Brasil);3010;Population - Est. & Proj.;2022;2022;1000 No;210.306.415;X;Figure from international organizations;
OA;Annual population;76;Brazil;511;População Total - Ambos os sexos(Brasil);3010;Population - Est. & Proj.;2023;2023;1000 No;211.140.729;X;Figure from international organizations;
