Domain Code;Domain;Area Code (M49);Area;Element Code;item;Item Code;P ;Year Code;Year;Unit;Value;Flag;Flag Description;Note
OA;Annual population;24;Angola;511;População Total - Ambos os sexos 2022(Angola);3010;Population - Est. & Proj.;2022;2022;1000 No;35635029;X;Figure from international organizations;
OA;Annual population;24;Angola;511;(Angola)População Total - Ambos os sexos2023(Angola);3010;Population - Est. & Proj.;2023;2023;1000 No;36749906;X;Figure from international organizations;
OA;Annual population;76;Brazil;511;População Total - Ambos os sexos2022(Brasil);3010;Population - Est. & Proj.;2022;2022;1000 No;210306415;X;Figure from international organizations;
OA;Annual population;76;Brazil;511;(Brasil)População Total - Ambos os sexos2023;3010;Population - Est. & Proj.;2023;2023;1000 No;211140729;X;Figure from international organizations;
